nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 0.2% │ SI-SNR: -6.10 dB │ Loss: 6.1021 │ 12s │ LR: 2e-04       
  [Ep   1/100] 0.4% │ SI-SNR: -3.16 dB │ Loss: 3.1638 │ 23s │ LR: 2e-04       
  [Ep   1/100] 0.6% │ SI-SNR: -2.08 dB │ Loss: 2.0788 │ 35s │ LR: 2e-04       
  [Ep   1/100] 0.8% │ SI-SNR: -1.38 dB │ Loss: 1.3773 │ 46s │ LR: 2e-04       
  [Ep   1/100] 1.0% │ SI-SNR: -0.94 dB │ Loss: 0.9351 │ 58s │ LR: 2e-04       
  [Ep   1/100] 1.2% │ SI-SNR: -0.45 dB │ Loss: 0.4492 │ 69s │ LR: 2e-04       
  [Ep   1/100] 1.4% │ SI-SNR: -0.22 dB │ Loss: 0.2156 │ 81s │ LR: 2e-04       
  [Ep   1/100] 1.6% │ SI-SNR: 0.02 dB │ Loss: -0.0191 │ 92s │ LR: 2e-04       
  [Ep   1/100] 1.8% │ SI-SNR: 0.26 dB │ Loss: -0.2641 │ 104s │ LR: 2e-04       
  [Ep   1/100] 2.0% │ SI-SNR: 0.45 dB │ Loss: -0.4470 │ 115s │ LR: 2e-04       
  [Ep   1/100] 2.2% │ SI-SNR: 0.60 dB │ Loss: -0.6021 │ 127s │ LR: 2e-04       
  [Ep   1/100] 2.4% │ SI-SNR: 0.76 dB │ Loss: -0.7599 │ 138s │ LR: 2e-04       
  [Ep   1/100] 2.6% │ SI-SNR: 0.95 dB │ Loss: -0.9454 │ 150s │ LR: 2e-04       
  [Ep   1/100] 2.8% │ SI-SNR: 1.07 dB │ Loss: -1.0652 │ 161s │ LR: 2e-04       
  [Ep   1/100] 3.0% │ SI-SNR: 1.23 dB │ Loss: -1.2264 │ 172s │ LR: 2e-04       
  [Ep   1/100] 3.1% │ SI-SNR: 1.34 dB │ Loss: -1.3386 │ 184s │ LR: 2e-04       
  [Ep   1/100] 3.3% │ SI-SNR: 1.43 dB │ Loss: -1.4324 │ 195s │ LR: 2e-04       
  [Ep   1/100] 3.5% │ SI-SNR: 1.51 dB │ Loss: -1.5071 │ 207s │ LR: 2e-04       
  [Ep   1/100] 3.7% │ SI-SNR: 1.59 dB │ Loss: -1.5894 │ 218s │ LR: 2e-04       
  [Ep   1/100] 3.9% │ SI-SNR: 1.65 dB │ Loss: -1.6471 │ 230s │ LR: 2e-04       
  [Ep   1/100] 4.1% │ SI-SNR: 1.69 dB │ Loss: -1.6903 │ 241s │ LR: 2e-04       
  [Ep   1/100] 4.3% │ SI-SNR: 1.73 dB │ Loss: -1.7331 │ 253s │ LR: 2e-04       
  [Ep   1/100] 4.5% │ SI-SNR: 1.79 dB │ Loss: -1.7871 │ 264s │ LR: 2e-04       
  [Ep   1/100] 4.7% │ SI-SNR: 1.83 dB │ Loss: -1.8271 │ 276s │ LR: 2e-04       
  [Ep   1/100] 4.9% │ SI-SNR: 1.89 dB │ Loss: -1.8923 │ 287s │ LR: 2e-04       
  [Ep   1/100] 5.1% │ SI-SNR: 1.91 dB │ Loss: -1.9097 │ 299s │ LR: 2e-04       
  [Ep   1/100] 5.3% │ SI-SNR: 1.96 dB │ Loss: -1.9559 │ 310s │ LR: 2e-04       
  [Ep   1/100] 5.5% │ SI-SNR: 2.01 dB │ Loss: -2.0054 │ 321s │ LR: 2e-04       
  [Ep   1/100] 5.7% │ SI-SNR: 2.05 dB │ Loss: -2.0495 │ 333s │ LR: 2e-04       
  [Ep   1/100] 5.9% │ SI-SNR: 2.09 dB │ Loss: -2.0903 │ 344s │ LR: 2e-04       
  [Ep   1/100] 6.1% │ SI-SNR: 2.16 dB │ Loss: -2.1574 │ 356s │ LR: 2e-04       
  [Ep   1/100] 6.3% │ SI-SNR: 2.22 dB │ Loss: -2.2220 │ 367s │ LR: 2e-04       
  [Ep   1/100] 6.5% │ SI-SNR: 2.28 dB │ Loss: -2.2781 │ 379s │ LR: 2e-04       
  [Ep   1/100] 6.7% │ SI-SNR: 2.32 dB │ Loss: -2.3190 │ 390s │ LR: 2e-04       
  [Ep   1/100] 6.9% │ SI-SNR: 2.37 dB │ Loss: -2.3750 │ 402s │ LR: 2e-04       
  [Ep   1/100] 7.1% │ SI-SNR: 2.41 dB │ Loss: -2.4071 │ 413s │ LR: 2e-04       
  [Ep   1/100] 7.3% │ SI-SNR: 2.45 dB │ Loss: -2.4457 │ 425s │ LR: 2e-04       
  [Ep   1/100] 7.5% │ SI-SNR: 2.47 dB │ Loss: -2.4747 │ 436s │ LR: 2e-04       
